t_min,mode,Core_ZN_temp,Perimeter_ZN_1_temp,Perimeter_ZN_2_temp,Perimeter_ZN_3_temp,Perimeter_ZN_4_temp,Core_ZN_pmv,Perimeter_ZN_1_pmv,Perimeter_ZN_2_pmv,Perimeter_ZN_3_pmv,Perimeter_ZN_4_pmv,facility_electricity_j,carbon_intensity_gco2_kwh
12.499999999999998,ai,15.36436790953214,15.593052806819166,15.214745644950181,15.208402006172884,15.168843746524312,-2.14,-2.07,-2.19,-2.19,-2.2,0.0,350.0
24.999999999999996,ai,15.260949519362033,15.599154073347886,15.531916580453176,15.554990323411758,15.52614545896727,-2.17,-2.07,-2.09,-2.08,-2.09,0.0,350.0
35.0,ai,15.154676956052331,15.599885939918408,15.588816663650913,15.595065703794086,15.588193113601891,-2.2,-2.07,-2.07,-2.07,-2.07,0.0,350.0
42.0,ai,15.300594352862033,14.971776581549603,14.767945447263367,14.809751560772463,14.71047475249368,-2.16,-2.26,-2.32,-2.31,-2.34,0.0,350.0
53.33333333333333,ai,15.583370282911055,15.586257769661362,15.567139457978914,15.581310615624982,15.565437834400587,-2.07,-2.07,-2.08,-2.08,-2.08,0.0,350.0
63.333333333333336,ai,15.599068722002126,15.599178179340223,15.5969721769222,15.5988809380133,15.59689596564563,-2.07,-2.07,-2.07,-2.07,-2.07,0.0,350.0
73.33333333333334,ai,15.149548986098985,15.599926233054763,15.599692545471356,15.5999029635733,15.599690388676809,-2.21,-2.07,-2.07,-2.07,-2.07,0.0,350.0
82.0,ai,15.59643980812562,14.828063676210945,14.629469120113606,14.6856867701004,14.57461085081231,-2.07,-2.3,-2.36,-2.34,-2.38,0.0,350.0
95.0,ai,15.599586150589968,15.560346515682985,15.512456110248596,15.549870340828555,15.509165826492886,-2.07,-2.08,-2.1,-2.09,-2.1,0.0,350.0
104.99999999999999,ai,15.599932848782203,15.595699842546637,15.58585337186718,15.594568619925411,15.585675052225294,-2.07,-2.07,-2.07,-2.07,-2.07,0.0,350.0
113.33333333333333,ai,15.154491023055378,15.599769135714407,15.598854529012316,15.599705955299255,15.59886670558236,-2.2,-2.07,-2.07,-2.07,-2.07,0.0,350.0
122.0,ai,15.596485901888817,14.829841969377668,14.624792171331741,14.684622854551414,14.571123742432327,-2.07,-2.3,-2.36,-2.34,-2.38,0.0,350.0
130.0,ai,15.599995846943802,14.554439879842734,14.403195006335014,14.31978206061997,14.310325970129316,-2.07,-2.38,-2.43,-2.45,-2.46,0.0,350.0
142.5,ai,15.599998713886134,15.58013758741938,15.561836252455581,15.574854723302908,15.559817856469202,-2.07,-2.08,-2.08,-2.08,-2.08,0.0,350.0
153.33333333333331,ai,15.160399400307103,15.5988554176927,15.596482131041178,15.598531440769419,15.59639064553877,-2.2,-2.07,-2.07,-2.07,-2.07,0.0,350.0
161.99999999999997,ai,15.596536456551808,14.81993147946943,14.607027427418508,14.667833375334768,14.551895614835315,-2.07,-2.3,-2.37,-2.35,-2.38,0.0,350.0
169.99999999999997,ai,15.599997011586034,14.536868536351992,14.380113790500216,14.298831007383388,14.286440395555687,-2.07,-2.39,-2.44,-2.46,-2.46,0.0,350.0
182.5,ai,15.599999095611096,15.57979380283143,15.561030582046063,15.574416419746989,15.559005455981445,-2.07,-2.08,-2.08,-2.08,-2.08,0.0,350.0
195.0,ai,15.119520427303865,15.597658515975517,15.592989728506243,15.597017514047963,15.592815961385487,-2.21,-2.07,-2.07,-2.07,-2.07,0.0,350.0
202.0,ai,15.595661565455732,14.80558863756591,14.591702544937515,14.655819871276703,14.536934062806347,-2.07,-2.31,-2.37,-2.35,-2.39,0.0,350.0
210.0,ai,15.59999770269455,14.509085510291849,14.355213917560588,14.27798754955155,14.262690082870302,-2.07,-2.4,-2.44,-2.47,-2.47,0.0,350.0
222.49999999999997,ai,15.599999270428533,15.5792706295849,15.560296094639472,15.574005310233572,15.558299299463831,-2.07,-2.08,-2.08,-2.08,-2.08,0.0,350.0
233.33333333333331,ai,15.15910687773361,15.598815114328044,15.596357172587158,15.59848868923654,15.596269593022138,-2.2,-2.07,-2.07,-2.07,-2.07,0.0,350.0
242.0,ai,15.596537542577376,14.785725393736056,14.573857169712884,14.640860834388727,14.519997887735236,-2.07,-2.31,-2.38,-2.36,-2.39,0.0,350.0
250.00000000000003,ai,15.599998184701862,14.477708286781441,14.32976399779785,14.257280955840022,14.23909817661899,-2.07,-2.41,-2.45,-2.47,-2.48,0.0,350.0
262.5,ai,15.59999945591854,15.578680341760995,15.55951732275331,15.573599591057292,15.557605501797516,-2.07,-2.08,-2.08,-2.08,-2.08,0.0,350.0
275.0,ai,15.118804983561276,15.597551184511392,15.592752183304128,15.596934978774438,15.592600482330521,-2.21,-2.07,-2.07,-2.07,-2.07,0.0,349.9
282.0,ai,15.595661050180405,14.779913346493514,14.569558524335823,14.639599241574862,14.5168912850638,-2.07,-2.32,-2.38,-2.36,-2.39,0.0,349.9
290.0,ai,15.599998756241483,14.468403899486974,14.325889495969575,14.257521839630074,14.237345086362204,-2.07,-2.41,-2.45,-2.47,-2.48,0.0,349.9
302.5,ai,15.599999639802178,15.578500648410644,15.559425590144926,15.57359139711562,15.557587488254496,-2.07,-2.08,-2.08,-2.08,-2.08,0.0,349.9
