t_min,mode,Core_ZN_temp,Perimeter_ZN_1_temp,Perimeter_ZN_2_temp,Perimeter_ZN_3_temp,Perimeter_ZN_4_temp,Core_ZN_pmv,Perimeter_ZN_1_pmv,Perimeter_ZN_2_pmv,Perimeter_ZN_3_pmv,Perimeter_ZN_4_pmv,facility_electricity_j,carbon_intensity_gco2_kwh
260.0,baseline,16.405775619749893,15.297537043645969,15.70624135370126,15.59798421274855,15.55695922391611,-1.83,-2.16,-2.04,-2.07,-2.08,0.0,350.0
275.0,baseline,16.411133854190123,15.299290346959632,15.220347441294047,15.218528309165013,15.5746962583463,-1.83,-2.16,-2.18,-2.18,-2.08,0.0,349.9
285.0,baseline,16.418486270043488,15.302433943291646,15.217359500613131,15.186132784978776,15.093701384987533,-1.82,-2.16,-2.18,-2.19,-2.22,0.0,349.9
294.99999999999994,baseline,16.425941541216577,15.306351603952411,15.569393903520375,15.56367808112249,15.545265462973614,-1.82,-2.16,-2.08,-2.08,-2.09,0.0,349.9
300.0,baseline,16.43543129798804,15.311951075959062,15.689760946014667,15.598070705160518,15.593694422158665,-1.82,-2.16,-2.04,-2.07,-2.07,0.0,349.9
315.0,baseline,16.442684460983727,15.31521236297819,15.226948027349096,15.236378963433136,15.618735592645475,-1.82,-2.16,-2.18,-2.18,-2.06,0.0,349.8
323.3333333333333,baseline,16.4464497213591,15.313472253581935,15.322760441081288,15.144413081248715,15.168240978668498,-1.82,-2.16,-2.15,-2.21,-2.2,0.0,349.8
335.0,baseline,16.44489196563983,15.307023712648235,15.619716863539283,15.561588637878625,15.567454814338706,-1.82,-2.16,-2.06,-2.08,-2.08,0.0,349.7
340.0,baseline,16.439507889397362,15.297410775671601,15.688256006002453,15.597950847634335,15.608297877525782,-1.82,-2.16,-2.04,-2.07,-2.07,0.0,349.6
354.99999999999994,baseline,16.43541660073296,15.290187050421128,15.213511771810433,15.224911361797215,15.62352321570061,-1.82,-2.16,-2.19,-2.18,-2.06,0.0,349.5
363.3333333333333,baseline,16.43037260854838,15.281571904390683,15.310174637950906,15.306179048546028,15.173032570883732,-1.82,-2.17,-2.16,-2.16,-2.2,0.0,349.4
373.3333333333333,baseline,17.040810763763126,15.7758669058094,15.877039938474297,15.77704076951717,15.69108663840612,-1.64,-2.02,-1.99,-2.02,-2.04,0.0,349.2
380.0,baseline,17.544400718146555,16.12671600144334,16.108987980061933,15.953708825381122,15.953900503407175,-1.49,-1.91,-1.92,-1.96,-1.96,0.0,349.1
390.0,baseline,17.674433927207744,16.2251801369461,16.20358843088213,16.04293107194448,16.049628250268242,-1.45,-1.88,-1.89,-1.94,-1.94,0.0,348.8
400.0,baseline,17.806038842097376,16.345359298396,16.309640943289597,16.096487900338783,16.158628226248517,-1.41,-1.85,-1.86,-1.92,-1.9,0.0,348.6
410.0,baseline,17.886780228484913,16.379163201315666,16.332100319684848,16.136548259935193,16.180767978888138,-1.38,-1.84,-1.85,-1.91,-1.9,0.0,348.2
420.0,baseline,17.985056759747476,16.45184067911976,16.40613640900921,16.1698137858479,16.254957594537693,-1.35,-1.81,-1.83,-1.9,-1.87,0.0,347.8
